neighbourhood,date,count,month
Allston,2007-01-07,3,January
Allston,2007-01-08,1,January
Allston,2007-01-09,2,January
Allston,2007-01-10,3,January
Allston,2007-01-11,1,January
Allston,2007-01-12,2,January
Allston,2007-01-13,3,January
Allston,2007-01-14,7,January
Allston,2007-01-15,2,January
Allston,2007-01-16,2,January
Allston,2007-01-18,2,January
Allston,2007-01-20,1,January
Allston,2007-01-21,3,January
Allston,2007-01-22,7,January
Allston,2007-01-23,1,January
Allston,2007-01-24,1,January
Allston,2007-01-25,2,January
Allston,2007-01-26,2,January
Allston,2007-01-27,3,January
Allston,2007-01-28,2,January
Allston,2007-01-29,3,January
Allston,2007-01-30,2,January
Allston,2007-01-31,2,January
Allston,2007-02-01,2,February
Allston,2007-02-02,1,February
Allston,2007-02-03,1,February
Allston,2007-02-05,1,February
Allston,2007-02-06,2,February
Allston,2007-02-08,2,February
Allston,2007-02-09,4,February
Allston,2007-02-10,4,February
Allston,2007-02-11,3,February
Allston,2007-02-12,1,February
Allston,2007-02-13,7,February
Allston,2007-02-14,7,February
Allston,2007-02-15,6,February
Allston,2007-02-16,3,February
Allston,2007-02-17,1,February
Allston,2007-02-18,2,February
Allston,2007-02-19,2,February
Allston,2007-02-20,3,February
Allston,2007-02-23,1,February
Allston,2007-02-24,2,February
Allston,2007-02-25,3,February
Allston,2007-02-26,3,February
Allston,2007-02-27,1,February
Allston,2007-03-05,1,March
Allston,2007-03-06,3,March
Allston,2007-03-07,1,March
Allston,2007-03-08,2,March
Allston,2007-03-09,1,March
Allston,2007-03-10,1,March
Allston,2007-03-12,1,March
Allston,2007-03-13,2,March
Allston,2007-03-14,1,March
Allston,2007-03-15,8,March
Allston,2007-03-16,4,March
Allston,2007-03-17,1,March
Allston,2007-03-18,1,March
Allston,2007-03-19,3,March
Allston,2007-03-20,3,March
Allston,2007-03-22,1,March
Allston,2007-03-23,1,March
Allston,2007-03-24,2,March
Allston,2007-03-25,3,March
Allston,2007-03-26,2,March
Allston,2007-03-27,3,March
Allston,2007-03-28,1,March
Allston,2007-03-29,3,March
Allston,2007-03-30,6,March
Allston,2007-03-31,3,March
Allston,2007-04-02,5,April
Allston,2007-04-03,3,April
Allston,2007-04-04,6,April
Allston,2007-04-05,9,April
Allston,2007-04-06,1,April
Allston,2007-04-07,2,April
Allston,2007-04-14,1,April
Allston,2007-04-15,2,April
Allston,2007-04-16,1,April
Allston,2007-04-17,2,April
Allston,2007-04-19,2,April
Allston,2007-04-20,1,April
Allston,2007-04-21,2,April
Allston,2007-04-23,3,April
